DATE,PPIACO
1978-12-01,9.94481
1979-01-01,18.02082
1979-02-01,17.75419
1979-03-01,14.33328
1979-04-01,17.28910
1979-05-01,9.32647
1979-06-01,7.71707
1979-07-01,18.32097
1979-08-01,6.04535
1979-09-01,19.43968
1979-10-01,17.66903
1979-11-01,7.28600
1979-12-01,11.56635
1980-01-01,25.62375
1980-02-01,23.70792
1980-03-01,8.25691
1980-04-01,4.10725
1980-05-01,6.81433
1980-06-01,5.42374
1980-07-01,21.45309
1980-08-01,15.84181
1980-09-01,2.62009
1980-10-01,14.30911
1980-11-01,5.16130
1980-12-01,7.70056
1981-01-01,17.77810
1981-02-01,11.29125
1981-03-01,11.18600
1981-04-01,12.30780
1981-05-01,3.66786
1981-06-01,2.43903
1981-07-01,6.07596
1981-08-01,0.00000
1981-09-01,-2.42669
1981-10-01,1.21396
1981-11-01,-1.21396
1981-12-01,0.00000
1982-01-01,10.88169
1982-02-01,1.20301
1982-03-01,-2.40722
1982-04-01,0.00000
1982-05-01,2.40722
1982-06-01,2.40240
1982-07-01,4.79043
1982-08-01,-1.19581
1982-09-01,-3.59461
1982-10-01,2.39760
1982-11-01,1.19701
1982-12-01,2.39044
1983-01-01,-3.58745
1983-02-01,3.58745
1983-03-01,-1.19462
1983-04-01,0.00000
1983-05-01,4.77138
1983-06-01,2.37859
1983-07-01,3.55907
1983-08-01,5.90843
1983-09-01,2.35525
1983-10-01,2.35064
1983-11-01,-1.17474
1983-12-01,2.34834
1984-01-01,7.01756
1984-02-01,3.49345
1984-03-01,8.11205
1984-04-01,1.15440
1984-05-01,1.15329
1984-06-01,-1.15329
1984-07-01,2.30548
1984-08-01,-4.61539
1984-09-01,-4.63321
1984-10-01,0.00000
1984-11-01,3.47658
1984-12-01,-2.31660
1985-01-01,-1.15998
1985-02-01,-1.16110
1985-03-01,-2.32558
1985-04-01,2.32558
1985-05-01,2.32108
1985-06-01,-2.32108
1985-07-01,-1.16223
1985-08-01,-5.82808
1985-09-01,-7.03127
1985-10-01,9.36590
1985-11-01,5.81678
1985-12-01,2.31884
1986-01-01,-4.64217
1986-02-01,-17.56986
1986-03-01,-16.63393
1986-04-01,-8.40424
1986-05-01,4.80963
1986-06-01,-1.20060
1986-07-01,-6.02109
1986-08-01,-1.20785
1986-09-01,1.20785
1986-10-01,3.61628
1986-11-01,1.20301
1986-12-01,-1.20301
1987-01-01,9.59046
1987-02-01,5.95535
1987-03-01,2.37389
1987-04-01,8.27182
1987-05-01,8.21519
1987-06-01,4.66927
1987-07-01,5.81115
1987-08-01,3.47323
1987-09-01,-1.15663
1987-10-01,4.61983
1987-11-01,1.15218
1987-12-01,0.00000
1988-01-01,4.59771
1988-02-01,2.29226
1988-03-01,1.14449
1988-04-01,10.25160
1988-05-01,7.91336
1988-06-01,7.86152
1988-07-01,7.81035
1988-08-01,1.11163
1988-09-01,1.11060
1988-10-01,1.10957
1988-11-01,1.10855
1988-12-01,7.73127
1989-01-01,16.40117
1989-02-01,3.25350
1989-03-01,7.55738
1989-04-01,8.57913
1989-05-01,9.57876
1989-06-01,-3.18443
1989-07-01,-1.06336
1989-08-01,-8.54096
1989-09-01,4.27808
1989-10-01,4.26288
1989-11-01,-1.06430
1989-12-01,3.19008
1990-01-01,20.00924
1990-02-01,-5.23333
1990-03-01,-2.09974
1990-04-01,-1.05125
1990-05-01,5.24706
1990-06-01,-3.14548
1990-07-01,2.09790
1990-08-01,20.77974
1990-09-01,19.41294
1990-10-01,24.08108
1990-11-01,-6.97387
1990-12-01,-14.07051
1991-01-01,3.02903
1991-02-01,-18.28994
1991-03-01,-10.28284
1991-04-01,-2.06718
1991-05-01,5.16130
1991-06-01,-1.03049
1991-07-01,-3.09678
1991-08-01,1.03315
1991-09-01,-1.03315
1991-10-01,3.09678
1991-11-01,0.00000
1991-12-01,-5.16574
1992-01-01,-3.11015
1992-02-01,4.14508
1992-03-01,1.03404
1992-04-01,2.06540
1992-05-01,9.25058
1992-06-01,8.16330
1992-07-01,-1.01738
1992-08-01,-2.03735
1992-09-01,3.05473
1992-10-01,1.01652
1992-11-01,-3.05214
1992-12-01,-2.03908
1993-01-01,4.07471
1993-02-01,4.06092
1993-03-01,3.03669
1993-04-01,6.05043
1993-05-01,4.01674
1993-06-01,-2.00669
1993-07-01,-3.01634
1993-08-01,-5.04414
1993-09-01,0.00000
1993-10-01,4.03701
1993-11-01,-1.00798
1993-12-01,-4.04041
1994-01-01,5.04839
1994-02-01,2.01342
1994-03-01,4.01674
1994-04-01,0.00000
1994-05-01,2.00334
1994-06-01,5.99003
1994-07-01,1.99005
1994-08-01,4.96073
1994-09-01,-1.98183
1994-10-01,-0.99215
1994-11-01,5.94061
1994-12-01,3.94413
1995-01-01,9.80398
1995-02-01,5.84417
1995-03-01,3.88036
1995-04-01,6.76058
1995-05-01,2.88577
1995-06-01,3.83693
1995-07-01,0.00000
1995-08-01,-1.91693
1995-09-01,0.95885
1995-10-01,0.95808
1995-11-01,0.95732
1995-12-01,2.86738
1996-01-01,5.71430
1996-02-01,-0.95050
1996-03-01,1.90024
1996-04-01,9.45631
1996-05-01,6.57536
1996-06-01,-0.93713
1996-07-01,0.00000
1996-08-01,2.80921
1996-09-01,-0.93567
1996-10-01,-1.87354
1996-11-01,1.87354
1996-12-01,8.39490
1997-01-01,5.56415
1997-02-01,-11.15422
1997-03-01,-11.25888
1997-04-01,-2.83130
1997-05-01,3.77359
1997-06-01,-1.88531
1997-07-01,-2.83353
1997-08-01,2.83353
1997-09-01,2.82686
1997-10-01,2.82021
1997-11-01,0.93860
1997-12-01,-10.36520
1998-01-01,-13.32290
1998-02-01,-3.83387
1998-03-01,-2.88346
1998-04-01,1.92308
1998-05-01,1.92000
1998-06-01,-2.88115
1998-07-01,0.96115
1998-08-01,-6.74430
1998-09-01,-3.87097
1998-10-01,1.93705
1998-11-01,-3.87722
1998-12-01,-7.79224
1999-01-01,0.97680
1999-02-01,-5.87277
1999-03-01,2.93998
1999-04-01,9.74823
1999-05-01,10.63237
1999-06-01,4.80193
1999-07-01,4.78279
1999-08-01,11.40151
1999-09-01,10.35707
1999-10-01,-2.81580
1999-11-01,5.62501
1999-12-01,-4.68568
2000-01-01,4.68568
2000-02-01,13.94824
2000-03-01,9.20956
2000-04-01,-0.91778
2000-05-01,8.23488
2000-06-01,19.89495
