DATE,CPILFESL
1957-02-01,4.20316
1957-03-01,4.18849
1957-04-01,4.17392
1957-05-01,0.00000
1957-06-01,4.15945
1957-07-01,4.14508
1957-08-01,0.00000
1957-09-01,4.13081
1957-10-01,4.11664
1957-11-01,4.10257
1957-12-01,0.00000
1958-01-01,0.00000
1958-02-01,4.08859
1958-03-01,4.07471
1958-04-01,0.00000
1958-05-01,0.00000
1958-06-01,4.06092
1958-07-01,0.00000
1958-08-01,0.00000
1958-09-01,4.04722
1958-10-01,0.00000
1958-11-01,4.03362
1958-12-01,4.02010
1959-01-01,0.00000
1959-02-01,0.00000
1959-03-01,4.00668
1959-04-01,0.00000
1959-05-01,3.99335
1959-06-01,3.98010
1959-07-01,0.00000
1959-08-01,0.00000
1959-09-01,3.96695
1959-10-01,3.95388
1959-11-01,0.00000
1959-12-01,3.94089
1960-01-01,0.00000
1960-02-01,3.92799
1960-03-01,0.00000
1960-04-01,0.00000
1960-05-01,0.00000
1960-06-01,3.91517
1960-07-01,-3.91517
1960-08-01,0.00000
1960-09-01,0.00000
1960-10-01,7.81762
1960-11-01,0.00000
1960-12-01,-3.90244
1961-01-01,3.90244
1961-02-01,0.00000
1961-03-01,3.88979
1961-04-01,0.00000
1961-05-01,0.00000
1961-06-01,3.87722
1961-07-01,0.00000
1961-08-01,3.86474
1961-09-01,0.00000
1961-10-01,0.00000
1961-11-01,3.85233
1961-12-01,0.00000
1962-01-01,0.00000
1962-02-01,0.00000
1962-03-01,3.84000
1962-04-01,0.00000
1962-05-01,3.82775
1962-06-01,0.00000
1962-07-01,0.00000
1962-08-01,3.81558
1962-09-01,0.00000
1962-10-01,0.00000
1962-11-01,0.00000
1962-12-01,3.80349
1963-01-01,-3.80349
1963-02-01,3.80349
1963-03-01,3.79147
1963-04-01,0.00000
1963-05-01,0.00000
1963-06-01,3.77953
1963-07-01,0.00000
1963-08-01,3.76766
1963-09-01,0.00000
1963-10-01,3.75587
1963-11-01,0.00000
1963-12-01,3.74415
1964-01-01,3.73251
1964-02-01,0.00000
1964-03-01,0.00000
1964-04-01,0.00000
1964-05-01,0.00000
1964-06-01,3.72093
1964-07-01,0.00000
1964-08-01,0.00000
1964-09-01,0.00000
1964-10-01,3.70943
1964-11-01,3.69800
1964-12-01,0.00000
1965-01-01,3.68664
1965-02-01,0.00000
1965-03-01,0.00000
1965-04-01,3.67535
1965-05-01,0.00000
1965-06-01,0.00000
1965-07-01,0.00000
1965-08-01,0.00000
1965-09-01,3.66412
1965-10-01,0.00000
1965-11-01,3.65297
1965-12-01,3.64188
1966-01-01,0.00000
1966-02-01,3.63087
1966-03-01,0.00000
1966-04-01,7.22894
1966-05-01,3.59820
1966-06-01,3.58745
1966-07-01,3.57675
1966-08-01,3.56612
1966-09-01,3.55556
1966-10-01,7.07967
1966-11-01,0.00000
1966-12-01,3.52423
1967-01-01,3.51391
1967-02-01,0.00000
1967-03-01,3.50365
1967-04-01,3.49345
1967-05-01,3.48331
1967-06-01,3.47323
1967-07-01,3.46321
1967-08-01,6.89657
1967-09-01,3.43348
1967-10-01,3.42368
1967-11-01,3.41394
1967-12-01,6.79889
1968-01-01,3.38505
1968-02-01,6.74159
1968-03-01,3.35665
1968-04-01,3.34728
1968-05-01,3.33797
1968-06-01,6.64822
1968-07-01,6.61159
1968-08-01,3.29218
1968-09-01,6.55739
1968-10-01,6.52176
1968-11-01,6.48650
1968-12-01,3.23015
1969-01-01,3.22148
1969-02-01,9.61287
1969-03-01,6.36606
1969-04-01,9.48622
1969-05-01,0.00000
1969-06-01,6.28274
1969-07-01,6.25001
1969-08-01,6.21763
1969-09-01,6.18558
1969-10-01,6.15386
1969-11-01,3.06514
1969-12-01,6.10688
1970-01-01,6.07596
1970-02-01,6.04535
1970-03-01,9.01131
1970-04-01,8.94414
1970-05-01,2.96663
1970-06-01,8.85613
1970-07-01,2.93758
1970-08-01,5.85367
1970-09-01,5.82525
1970-10-01,5.79711
1970-11-01,8.64349
1970-12-01,5.72793
1971-01-01,2.85375
1971-02-01,2.84698
1971-03-01,0.00000
1971-04-01,5.67377
1971-05-01,5.64707
1971-06-01,5.62062
1971-07-01,2.80047
1971-08-01,2.79395
1971-09-01,0.00000
1971-10-01,2.78746
1971-11-01,2.78100
1971-12-01,2.77457
1972-01-01,5.52996
1972-02-01,2.75545
1972-03-01,0.00000
1972-04-01,5.49200
1972-05-01,2.73660
1972-06-01,2.73038
1972-07-01,2.72418
1972-08-01,5.42987
1972-09-01,0.00000
1972-10-01,2.70575
1972-11-01,0.00000
1972-12-01,5.39327
1973-01-01,0.00000
1973-02-01,5.36914
1973-03-01,5.34522
1973-04-01,2.66371
1973-05-01,5.30974
1973-06-01,2.64609
1973-07-01,2.64027
1973-08-01,5.26317
1973-09-01,7.85172
1973-10-01,7.80068
1973-11-01,5.17242
1973-12-01,5.15022
1974-01-01,5.12821
1974-02-01,7.65146
1974-03-01,10.12664
1974-04-01,7.53929
1974-05-01,14.93795
1974-06-01,12.30780
1974-07-01,12.18285
1974-08-01,16.85083
1974-09-01,11.89306
1974-10-01,11.77635
1974-11-01,9.33857
1974-12-01,9.26646
1975-01-01,6.90318
1975-02-01,11.41778
1975-03-01,4.53687
1975-04-01,6.77330
1975-05-01,4.49439
1975-06-01,6.71018
1975-07-01,4.45270
1975-08-01,4.43623
1975-09-01,6.62375
1975-10-01,6.58739
1975-11-01,8.72731
1975-12-01,6.50408
1976-01-01,8.61763
