DATE,CPIAUCSL
1968-11-01,3.39463
1968-12-01,6.76058
1969-01-01,3.36606
1969-02-01,3.35665
1969-03-01,10.01397
1969-04-01,6.62985
1969-05-01,3.30124
1969-06-01,6.57536
1969-07-01,6.53953
1969-08-01,3.25645
1969-09-01,6.48650
1969-10-01,6.45163
1969-11-01,6.41713
1969-12-01,6.38299
1970-01-01,6.34922
1970-02-01,6.31580
1970-03-01,6.28274
1970-04-01,6.25001
1970-05-01,3.11284
1970-06-01,6.20156
1970-07-01,3.08880
1970-08-01,3.08087
1970-09-01,6.13812
1970-10-01,6.10688
1970-11-01,6.07596
1970-12-01,6.04535
1971-01-01,3.01129
1971-02-01,0.00000
1971-03-01,3.00376
1971-04-01,2.99626
1971-05-01,5.97016
1971-06-01,5.94061
1971-07-01,2.95931
1971-08-01,2.95203
1971-09-01,2.94479
1971-10-01,2.93758
1971-11-01,2.93040
1971-12-01,2.92327
1972-01-01,2.91616
1972-02-01,5.81115
1972-03-01,0.00000
1972-04-01,2.89506
1972-05-01,2.88809
1972-06-01,2.88115
1972-07-01,2.87425
1972-08-01,2.86738
1972-09-01,5.71430
1972-10-01,2.84698
1972-11-01,5.67377
1972-12-01,2.82686
1973-01-01,5.63381
1973-02-01,8.40143
1973-03-01,11.11119
1973-04-01,8.26639
1973-05-01,5.47946
1973-06-01,8.17256
1973-07-01,0.00000
1973-08-01,21.52524
1973-09-01,5.32152
1973-10-01,10.57276
1973-11-01,7.86888
1973-12-01,10.41221
1974-01-01,12.88949
1974-02-01,12.75251
1974-03-01,12.61841
1974-04-01,7.50785
1974-05-01,12.40962
1974-06-01,9.83612
1974-07-01,7.32454
1974-08-01,14.51631
1974-09-01,16.71669
1974-10-01,9.44887
1974-11-01,11.70741
1974-12-01,9.28438
1975-01-01,9.21310
1975-02-01,6.86370
1975-03-01,4.55409
1975-04-01,4.53687
1975-05-01,2.26202
1975-06-01,9.00567
1975-07-01,11.16287
1975-08-01,4.43623
1975-09-01,8.82357
1975-10-01,6.57536
1975-11-01,8.71147
1975-12-01,6.49235
1976-01-01,4.30880
1976-02-01,2.14861
1976-03-01,2.14477
1976-04-01,2.14095
1976-05-01,6.40002
1976-06-01,6.36606
1976-07-01,6.33247
1976-08-01,6.29923
1976-09-01,6.26633
1976-10-01,6.23378
1976-11-01,4.13794
1976-12-01,6.18027
1977-01-01,6.14860
1977-02-01,12.20350
1977-03-01,6.05552
1977-04-01,8.02679
1977-05-01,3.99335
1977-06-01,5.96522
1977-07-01,5.93571
1977-08-01,5.90649
1977-09-01,3.92157
1977-10-01,5.85843
1977-11-01,7.76702
1977-12-01,5.79245
1978-01-01,7.68003
1978-02-01,5.72793
1978-03-01,7.59496
1978-04-01,9.42660
1978-05-01,11.21503
1978-06-01,9.26646
1978-07-01,9.19545
1978-08-01,7.30596
1978-09-01,10.87621
1978-10-01,10.77852
1978-11-01,7.13226
1978-12-01,7.09012
1979-01-01,10.55725
1979-02-01,12.20054
1979-03-01,12.07774
1979-04-01,11.95739
1979-05-01,13.52127
1979-06-01,13.37061
1979-07-01,13.22327
1979-08-01,11.45203
1979-09-01,11.34377
1979-10-01,12.83435
1979-11-01,12.69853
1979-12-01,14.12704
1980-01-01,17.04354
1980-02-01,15.28683
1980-03-01,16.59360
1980-04-01,11.92556
1980-05-01,11.80821
1980-06-01,11.69315
1980-07-01,1.45366
1980-08-01,8.68520
1980-09-01,10.05392
1980-10-01,11.38799
1980-11-01,12.68362
1980-12-01,11.16287
1981-01-01,11.05999
1981-02-01,10.95898
1981-03-01,8.15405
1981-04-01,6.75297
1981-05-01,8.05372
1981-06-01,10.65490
1981-07-01,13.18695
1981-08-01,9.14539
1981-09-01,11.65686
1981-10-01,3.86059
1981-11-01,5.12821
1981-12-01,3.83183
1982-01-01,3.81963
1982-02-01,3.80751
1982-03-01,0.00000
1982-04-01,3.79547
1982-05-01,11.31491
1982-06-01,13.68600
1982-07-01,6.16968
1982-08-01,2.45902
1982-09-01,0.00000
1982-10-01,4.90297
1982-11-01,-1.22387
1982-12-01,-3.67910
1983-01-01,2.45399
1983-02-01,1.22511
1983-03-01,1.22387
1983-04-01,8.53229
1983-05-01,4.84849
1983-06-01,2.41692
1983-07-01,4.81928
1983-08-01,3.60180
1983-09-01,3.59103
1983-10-01,4.77138
1983-11-01,3.56612
1983-12-01,3.55556
1984-01-01,8.25556
1984-02-01,5.86225
1984-03-01,3.50365
1984-04-01,4.65568
1984-05-01,2.32108
1984-06-01,2.31660
1984-07-01,4.61983
1984-08-01,3.45324
1984-09-01,3.44333
1984-10-01,4.57579
1984-11-01,2.28137
1984-12-01,2.27704
1985-01-01,2.27273
1985-02-01,6.79247
1985-03-01,5.63117
1985-04-01,2.24509
1985-05-01,2.24090
1985-06-01,3.35352
1985-07-01,2.23048
1985-08-01,2.22635
1985-09-01,2.22222
1985-10-01,4.43214
1985-11-01,5.51725
1985-12-01,5.49200
1986-01-01,4.37557
1986-02-01,-2.18579
1986-03-01,-6.58137
1986-04-01,-4.40772
1986-05-01,3.30731
1986-06-01,4.39561
1986-07-01,1.09639
1986-08-01,1.09539
1986-09-01,4.37159
1986-10-01,2.17984
1986-11-01,2.17588
1986-12-01,4.33997
1987-01-01,6.48066
1987-02-01,4.30108
1987-03-01,4.28572
1987-04-01,5.33571
1987-05-01,3.19008
1987-06-01,5.29802
1987-07-01,3.16762
1987-08-01,5.26086
1987-09-01,4.19214
1987-10-01,3.13453
1987-11-01,4.16667
1987-12-01,2.07792
1988-01-01,4.14508
1988-02-01,2.06718
1988-03-01,3.09411
1988-04-01,7.18872
1988-05-01,3.06775
1988-06-01,5.09555
1988-07-01,5.07400
1988-08-01,5.05264
1988-09-01,5.03145
1988-10-01,4.01003
1988-11-01,3.99667
1988-12-01,3.98341
1989-01-01,4.96073
1989-02-01,3.95388
1989-03-01,5.90649
1989-04-01,8.80558
1989-05-01,5.83470
1989-06-01,3.87410
1989-07-01,3.86163
1989-08-01,0.00000
1989-09-01,2.88809
1989-10-01,5.75541
1989-11-01,4.77518
1989-12-01,3.80651
1990-01-01,11.34760
1990-02-01,4.69668
1990-03-01,5.61186
1990-04-01,2.79612
1990-05-01,1.86047
1990-06-01,7.41315
1990-07-01,5.52996
1990-08-01,10.07255
1990-09-01,8.17875
1990-10-01,8.12339
1990-11-01,2.69562
1990-12-01,4.47929
1991-01-01,4.46263
1991-02-01,0.89054
1991-03-01,0.00000
1991-04-01,2.66766
1991-05-01,4.43296
1991-06-01,3.53461
1991-07-01,1.76341
1991-08-01,3.51906
1991-09-01,3.50877
1991-10-01,1.75055
1991-11-01,5.23637
1991-12-01,3.47826
1992-01-01,0.86799
1992-02-01,2.60022
1992-03-01,4.32121
1992-04-01,2.58528
1992-05-01,2.57972
1992-06-01,3.43102
1992-07-01,3.42124
1992-08-01,2.55955
1992-09-01,2.55410
1992-10-01,5.09195
1992-11-01,3.38267
1992-12-01,1.68776
1993-01-01,4.20905
1993-02-01,2.51836
1993-03-01,1.67598
1993-04-01,4.17973
1993-05-01,3.33334
1993-06-01,0.83189
1993-07-01,1.66205
1993-08-01,2.48877
1993-09-01,1.65631
1993-10-01,4.95527
1993-11-01,3.29218
1993-12-01,2.46322
1994-01-01,0.00000
1994-02-01,3.27645
1994-03-01,3.26753
1994-04-01,0.81549
1994-05-01,2.44316
1994-06-01,3.24983
1994-07-01,4.04995
1994-08-01,4.84197
1994-09-01,2.41368
1994-10-01,0.80348
1994-11-01,3.20856
1994-12-01,2.40080
1995-01-01,3.19361
1995-02-01,3.18514
1995-03-01,2.38332
1995-04-01,4.75248
1995-05-01,2.36920
1995-06-01,2.36453
1995-07-01,1.57377
1995-08-01,2.35679
1995-09-01,1.56863
1995-10-01,3.13112
1995-11-01,1.56250
1995-12-01,1.56047
1996-01-01,6.22166
1996-02-01,2.32483
1996-03-01,3.86474
1996-04-01,4.62132
1996-05-01,2.30400
1996-06-01,2.29959
1996-07-01,2.29519
1996-08-01,1.52769
1996-09-01,3.81074
1996-10-01,3.79867
1996-11-01,3.78669
1996-12-01,3.02077
1997-01-01,2.26060
1997-02-01,2.25635
1997-03-01,0.75117
1997-04-01,0.75070
1997-05-01,0.00000
1997-06-01,2.24930
1997-07-01,1.49719
1997-08-01,2.98879
1997-09-01,2.98137
1997-10-01,2.23118
1997-11-01,1.48515
1997-12-01,0.74189
1998-01-01,1.48240
1998-02-01,0.00000
1998-03-01,0.00000
1998-04-01,1.48057
1998-05-01,2.95567
1998-06-01,1.47511
1998-07-01,2.94479
1998-08-01,1.46969
1998-09-01,0.73417
1998-10-01,2.93219
1998-11-01,1.46341
1998-12-01,2.19178
1999-01-01,2.18779
1999-02-01,0.00000
1999-03-01,0.72838
1999-04-01,7.98310
1999-05-01,0.72311
1999-06-01,0.00000
1999-07-01,5.04960
1999-08-01,2.87598
1999-09-01,5.01643
1999-10-01,2.14350
1999-11-01,2.13967
1999-12-01,2.84698
2000-01-01,3.54925
2000-02-01,4.95138
2000-03-01,7.03814
2000-04-01,-0.70196
2000-05-01,2.10465
2000-06-01,6.98895
2000-07-01,3.47927
2000-08-01,0.00000
2000-09-01,6.23738
2000-10-01,2.07194
2000-11-01,2.06837
2000-12-01,2.75229
2001-01-01,6.85325
2001-02-01,2.73038
2001-03-01,0.68162
2001-04-01,2.04255
2001-05-01,6.10688
2001-06-01,2.70423
2001-07-01,-2.02760
2001-08-01,0.00000
2001-09-01,4.72574
2001-10-01,-3.37363
2001-11-01,-0.67587
2001-12-01,-0.67625
2002-01-01,2.02760
2002-02-01,2.02418
2002-03-01,3.36606
2002-04-01,5.36614
2002-05-01,1.33779
2002-06-01,0.66834
2002-07-01,2.66963
2002-08-01,3.32871
2002-09-01,1.99280
2002-10-01,2.65193
2002-11-01,1.98511
2002-12-01,1.98183
2003-01-01,5.26894
2003-02-01,6.55381
2003-03-01,1.95918
2003-04-01,-4.57642
2003-05-01,-1.96668
2003-06-01,1.31148
2003-07-01,3.92585
2003-08-01,5.21457
2003-09-01,3.89611
2003-10-01,-1.29730
2003-11-01,0.64882
2003-12-01,3.23887
2004-01-01,5.16407
2004-02-01,2.57373
2004-03-01,2.56822
2004-04-01,1.92256
2004-05-01,5.11183
2004-06-01,4.45506
2004-07-01,1.26984
2004-08-01,0.63442
2004-09-01,3.79948
2004-10-01,6.30585
2004-11-01,5.64707
2004-12-01,0.00000
2005-01-01,-0.62614
2005-02-01,5.00001
2005-03-01,4.35798
2005-04-01,3.72286
2005-05-01,-0.61967
2005-06-01,0.61967
2005-07-01,7.41124
2005-08-01,7.36575
2005-09-01,16.40947
2005-10-01,1.80950
2005-11-01,-6.04231
2005-12-01,0.00000
2006-01-01,7.24713
2006-02-01,0.60196
2006-03-01,1.80406
2006-04-01,5.99402
2006-05-01,3.58209
2006-06-01,2.97693
2006-07-01,6.52337
2006-08-01,5.31105
2006-09-01,-5.90262
2006-10-01,-5.33730
2006-11-01,0.59421
2006-12-01,6.51693
2007-01-01,1.98949
2007-02-01,4.64502
2007-03-01,6.22398
2007-04-01,3.59540
2007-05-01,4.94937
2007-06-01,2.77689
2007-07-01,2.13481
2007-08-01,0.36988
2007-09-01,5.07432
2007-10-01,3.69419
2007-11-01,9.39380
2007-12-01,3.47259
2008-01-01,4.13013
2008-02-01,2.89789
2008-03-01,4.28597
2008-04-01,2.77405
2008-05-01,7.08006
2008-06-01,12.50846
2008-07-01,8.53928
2008-08-01,-1.78750
2008-09-01,1.02567
2008-10-01,-10.36274
2008-11-01,-21.43691
2008-12-01,-9.92113
2009-01-01,3.03309
2009-02-01,4.36325
2009-03-01,-1.18532
2009-04-01,1.20789
2009-05-01,1.76449
2009-06-01,9.91843
2009-07-01,-0.35761
2009-08-01,4.01143
2009-09-01,2.31483
2009-10-01,3.59692
